##name Persian
##ownname فارسی
##isocode fa_IR
##winlangid 0x0429
##grflangid 0x62
##plural 0
##textdir rtl
##digitsep ٬
##digitsepcur ٬

#

##id 0x0000
STR_ERROR_OFF_EDGE_OF_MAP                                       :{WHITE}خارج از نقشه
STR_FOUND_TOWN_NEW_TOWN_TOOLTIP                                 :{BLACK}ساختن شهر جدید
STR_ERROR_CAN_T_BUILD_TOWN_HERE                                 :{WHITE}اینجا نمی شود شهر ساخت
STR_ERROR_TOO_CLOSE_TO_EDGE_OF_MAP_SUB                          :{WHITE} به حاشیه ی نقشه زیادی نزدیک است
STR_ERROR_TOO_CLOSE_TO_ANOTHER_TOWN                             :{WHITE} به شهر دیگری بسیار نزدیک است
STR_ERROR_SITE_UNSUITABLE                                       :{WHITE} مکان مناسب نیست
STR_ERROR_TOO_MANY_TOWNS                                        :{WHITE}تعداد شهر ها بسیار زیاد شده
STR_FOUND_TOWN_RANDOM_TOWN_BUTTON                               :{BLACK}شهر صادفی
STR_FOUND_TOWN_RANDOM_TOWN_TOOLTIP                              :{BLACK}شهری در مکانی تصادفی بساز
STR_ERROR_CAN_T_BUILD_HERE                                      :{WHITE}نمی شود {STRING} اینجا ساخت
STR_ERROR_MUST_BUILD_TOWN_FIRST                                 :{WHITE} اول باید شهر ساخته شود
STR_ERROR_ONLY_ONE_ALLOWED_PER_TOWN                             :{WHITE} فقط یکی به ازای هر شهر مجاز است
STR_SCENEDIT_TOOLBAR_PLANT_TREES                                :{BLACK}کاشت درخت
STR_SCENEDIT_TOOLBAR_PLACE_SIGN                                 :{BLACK}علامت گذاری
STR_TREES_RANDOM_TREES_BUTTON                                   :{BLACK} درخت های تصادفی
STR_TREES_RANDOM_TREES_TOOLTIP                                  :{BLACK} به شکل تصافی در تمام نقشه درخت بکار
STR_TERRAFORM_TOOLTIP_PLACE_ROCKY_AREAS_ON_LANDSCAPE            :{BLACK}مکان های سنگی در نقشه ایجاد کن
STR_TERRAFORM_TOOLTIP_PLACE_LIGHTHOUSE                          :{BLACK}فانوس دریایی بساز
STR_TERRAFORM_TOOLTIP_DEFINE_DESERT_AREA                        :{BLACK} ناحیه ی بیابانی را مشخص کن {} دکمه ی "کنترل" را فشار بده تا حذف کند
STR_TOWN_VIEW_DELETE_BUTTON                                     :{BLACK}پاک کردن
STR_TOWN_VIEW_DELETE_TOOLTIP                                    :{BLACK} این شهر را به شکل کامل حذف کن
STR_SCENEDIT_FILE_MENU_QUIT_EDITOR                              :خارج شدن از محیط طراحی
STR_SCENEDIT_FILE_MENU_SEPARATOR                                :
STR_SCENEDIT_FILE_MENU_QUIT                                     :خروج
STR_ERROR_CAN_ONLY_BE_BUILT_IN_TOWNS_WITH_POPULATION_OF_1200    :{WHITE} فقط در شهرهایی با جمعیت بیش از 1200 نفر ممکن است
STR_SCENEDIT_TOOLBAR_TOOLTIP_MOVE_THE_STARTING_DATE_BACKWARD    :{BLACK}روز شروع بازی را یک سال به عقب برگردان
STR_SCENEDIT_TOOLBAR_TOOLTIP_MOVE_THE_STARTING_DATE_FORWARD     :{BLACK}روز شروع بازی را یک سال جلو ببر
STR_ERROR_ENDS_OF_BRIDGE_MUST_BOTH                              :{WHITE}هر دو سر پل باید در خشکی قرار بگیرد
STR_FOUND_TOWN_INITIAL_SIZE_SMALL_BUTTON                        :{BLACK}کوچک
STR_FOUND_TOWN_INITIAL_SIZE_MEDIUM_BUTTON                       :{BLACK}متوسط
STR_FOUND_TOWN_INITIAL_SIZE_LARGE_BUTTON                        :{BLACK}بزرگ
STR_FOUND_TOWN_INITIAL_SIZE_TOOLTIP                             :{BLACK}انتخاب اندازه ی شهر
STR_FOUND_TOWN_INITIAL_SIZE_TITLE                               :{YELLOW}اندازه ی شهر :


STR_NEWS_MESSAGE                                                :{STRING}  -  {STRING}
STR_STATUSBAR_TOOLTIP_SHOW_LAST_NEWS                            :{BLACK} اخرین پیغام یا گزارش را نشان بده
STR_STATUSBAR_COMPANY_NAME                                      :{SILVER}- -  {COMPANY}  - -
STR_TOWN_MENU_TOWN_DIRECTORY                                    :لیست شهر ها
STR_BLACK_STRING                                                :{BLACK}{STRING}

############ range for menu starts
STR_SETTINGS_MENU_GAME_OPTIONS                                  :تنظیمات بازی
STR_SETTINGS_MENU_DIFFICULTY_SETTINGS                           :تنظیمات سختی
STR_SETTINGS_MENU_TOWN_NAMES_DISPLAYED                          :{SETX 12}نام شهرها نشان داده شود
STR_SETTINGS_MENU_STATION_NAMES_DISPLAYED                       :{SETX 12}نام ایستگاه ها نشان داده شود
STR_SETTINGS_MENU_SIGNS_DISPLAYED                               :{SETX 12}علامت ها نشان داده شوند
STR_SETTINGS_MENU_FULL_ANIMATION                                :{SETX 12}انیمیشن کامل
STR_SETTINGS_MENU_FULL_DETAIL                                   :{SETX 12}جزعیات کامل
STR_SETTINGS_MENU_TRANSPARENT_BUILDINGS                         :{SETX 12}ساختمان های نامرئی
############ range ends here

############ range for menu starts
STR_ABOUT_MENU_SEPARATOR                                        :
STR_ABOUT_MENU_AI_DEBUG                                         :رفع اشکالات هوش مصنوعی
STR_ABOUT_MENU_SCREENSHOT                                       :(Ctrl-S) تصویر از بازی
STR_ABOUT_MENU_GIANT_SCREENSHOT                                 :(Ctrl-G) نصویر از دنیا
STR_ABOUT_MENU_ABOUT_OPENTTD                                    :'OpenTTD' درباره
############ range ends here

STR_STATION_BUILD_COVERAGE_OFF                                  :{BLACK}خاموش
STR_STATION_BUILD_COVERAGE_ON                                   :{BLACK}روشن
STR_MAP_MENU_MAP_OF_WORLD                                       :نقشه ی دنیا

STR_GAME_OPTIONS_CURRENCY_UNITS_FRAME                           :{BLACK}واحد پول
STR_GAME_OPTIONS_CURRENCY_UNITS_DROPDOWN                        :{BLACK}{SKIP}{STRING}
STR_GAME_OPTIONS_CURRENCY_UNITS_DROPDOWN_TOOLTIP                :{BLACK}انتخب واحد پول
STR_GAME_OPTIONS_MEASURING_UNITS_DROPDOWN                       :{BLACK}{SKIP}{SKIP}{STRING}
STR_GAME_OPTIONS_ROAD_VEHICLES_FRAME                            :{BLACK} وسایل حمل و نقل جاده ای
STR_GAME_OPTIONS_ROAD_VEHICLES_DROPDOWN                         :{BLACK}{SKIP}{SKIP}{SKIP}{STRING}
STR_GAME_OPTIONS_ROAD_VEHICLES_DROPDOWN_TOOLTIP                 :{BLACK}انتخاب جهت فرمان ماشین ها
STR_GAME_OPTIONS_ROAD_VEHICLES_DROPDOWN_LEFT                    :چپ فرمان
STR_GAME_OPTIONS_ROAD_VEHICLES_DROPDOWN_RIGHT                   :راست فرمان
STR_GAME_OPTIONS_TOWN_NAMES_FRAME                               :{BLACK} نام شهرها
STR_GAME_OPTIONS_TOWN_NAMES_DROPDOWN                            :{BLACK}{SKIP}{SKIP}{SKIP}{SKIP}{STRING}
STR_GAME_OPTIONS_TOWN_NAMES_DROPDOWN_TOOLTIP                    :{BLACK}انتخاب نوع نام شهرها

STR_GAME_OPTIONS_AUTOSAVE_FRAME                                 :{BLACK} ذخیره اتوماتیک
STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN                              :{BLACK}{SKIP}{SKIP}{SKIP}{SKIP}{SKIP}{STRING}
STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_TOOLTIP                      :{BLACK} انتخاب فاصله زمانی بین ذخیره کردن های اتوماتیک
STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_OFF                          :خاموش
STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_EVERY_3_MONTHS               :هر 3 ماه
STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_EVERY_6_MONTHS               :هر 6 ماه
STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_EVERY_12_MONTHS              :هر 12 ماه
STR_INTRO_TOOLTIP_NEW_GAME                                      :{BLACK}شروع بازی جدید
STR_INTRO_TOOLTIP_LOAD_GAME                                     :{BLACK}ادامه ی بازی گذشته
STR_INTRO_TOOLTIP_GAME_OPTIONS                                  :{BLACK}نشان دادن تنظیمات بازی
STR_INTRO_TOOLTIP_DIFFICULTY_OPTIONS                            :{BLACK} نشان دادن تنظیمات سختی
STR_INTRO_QUIT                                                  :{BLACK}خروج
STR_INTRO_TOOLTIP_QUIT                                          :{BLACK} خروج از 'OpenTTD'
STR_INTRO_CAPTION                                               :{WHITE}OpenTTD {REV}
STR_ERROR_CAN_ONLY_BE_BUILT_IN_TOWNS                            :{WHITE}فقط می توان در شهر ها ساخت

############ range for menu starts
STR_INDUSTRY_MENU_FUND_NEW_INDUSTRY                             :ساخت کارخانه جدید
############ range ends here

STR_FUND_INDUSTRY_CAPTION                                       :{WHITE} ساخت کارخانه جدید
STR_ERROR_CAN_ONLY_BE_BUILT_IN_RAINFOREST                       :{WHITE} فقط میتوان در جنگل های بارانی ساخت
STR_ERROR_CAN_ONLY_BE_BUILT_IN_DESERT                           :{WHITE} فقط می توان در صحرا ساخت
STR_STATUSBAR_PAUSED                                            :{YELLOW}* *  توقف  *  *

STR_MESSAGE_SCREENSHOT_SUCCESSFULLY                             :{WHITE} تصویر با موفقیت در {STRING} ذخیره شد
STR_ERROR_SCREENSHOT_FAILED                                     :{WHITE}تصئیر ذخیره نشد

STR_TERRAFORM_TOOLTIP_PURCHASE_LAND                             :{BLACK}خرید زمین برای استفاده های بعدی
STR_STATUSBAR_AUTOSAVE                                          :{RED}ذخیره اتوماتیک

STR_6                                                           :{BLACK}6

############ start of townname region
############ end of townname region















# Start of order review system.
# DON'T ADD OR REMOVE LINES HERE
# end of order system






















############ generic strings for settings



























############ network gui strings















############ Leave those lines in this order!!
############ End of leave-in-this-order







############ Leave those lines in this order!!

############ End of leave-in-this-order




############ Leave those lines in this order!!
############ End of leave-in-this-order
############ Leave those lines in this order!!
############ End of leave-in-this-order





############ end network gui strings

##### PNG-MAP-Loader



##id 0x0800
STR_INCOME_FLOAT_COST_SMALL                                     :{TINYFONT}{RED}مخارج: {CURRENCY}
STR_INCOME_FLOAT_COST                                           :{RED}مخارج: {CURRENCY}
STR_INCOME_FLOAT_INCOME_SMALL                                   :{TINYFONT}{GREEN}درآمد : {CURRENCY}
STR_INCOME_FLOAT_INCOME                                         :{GREEN}درآمد: {CURRENCY}
STR_MESSAGE_ESTIMATED_COST                                      :{WHITE}مخارج تقریبی: {CURRENCY}
STR_MESSAGE_ESTIMATED_INCOME                                    :{WHITE}در آمد تقریبی: {CURRENCY}
STR_ERROR_CAN_T_RAISE_LAND_HERE                                 :{WHITE}نمی شود افزایش ارتفاع اد
STR_ERROR_CAN_T_LOWER_LAND_HERE                                 :{WHITE}نمی توان ارتفاع زمین را کم کرد
STR_CLEAR_LAND_DESCRIPTION_ROCKS                                :صخره
STR_CLEAR_LAND_DESCRIPTION_ROUGH_LAND                           :سرزمین سنگلاخی
STR_CLEAR_LAND_DESCRIPTION_BARE_LAND                            :سرزمین بایر
STR_CLEAR_LAND_DESCRIPTION_GRASS                                :چمن
STR_CLEAR_LAND_DESCRIPTION_SNOW_COVERED_LAND                    :زمین پوشیده از برف
STR_CLEAR_LAND_DESCRIPTION_DESERT                               :صحرا

##id 0x1000
STR_ERROR_IMPOSSIBLE_TRACK_COMBINATION                          :{WHITE}ترکیب ریل غیر ممکن است
STR_ERROR_ALREADY_AT_SEA_LEVEL                                  :{WHITE} قبلا یه سطح دریا رسیده است
STR_ERROR_TOO_HIGH                                              :{WHITE}بیش از اندازه ارتفاع دارد
STR_ERROR_NO_SUITABLE_RAILROAD_TRACK                            :{WHITE}قطعه مناسب راه آهن انتخاب نشده
STR_ERROR_ALREADY_BUILT                                         :{WHITE} قبلا در اینجا ساخته شده
STR_ERROR_MUST_REMOVE_RAILROAD_TRACK                            :{WHITE}اول باید ریل راه آهن حذف شود
STR_RAIL_TOOLBAR_RAILROAD_CONSTRUCTION_CAPTION                  :{WHITE}ساخت راه آهن
STR_RAIL_TOOLBAR_MONORAIL_CONSTRUCTION_CAPTION                  :{WHITE}ساخت مونوریل
STR_RAIL_TOOLBAR_MAGLEV_CONSTRUCTION_CAPTION                    :{WHITE}ساخت ریل مغناطیسی
STR_SELECT_RAIL_BRIDGE_CAPTION                                  :{WHITE}انتخب پل راه آهن
STR_ERROR_CAN_T_BUILD_RAILROAD_STATION                          :{WHITE} اینجا نمی شود ایستگاه راه آهن ساخت
STR_ERROR_CAN_T_BUILD_SIGNALS_HERE                              :{WHITE}اینجا نمی شود علامت ساخت
STR_ERROR_CAN_T_BUILD_RAILROAD_TRACK                            :{WHITE} اینجا نمی شود ریل ساخت
STR_ERROR_CAN_T_REMOVE_RAILROAD_TRACK                           :{WHITE}از اینجا نمی شود ریل را حذف کرد
STR_ERROR_CAN_T_REMOVE_SIGNALS_FROM                             :{WHITE} از اینجا نمی شود چراغ ها ی راهنمایی را حذف کرد
STR_RAIL_MENU_RAILROAD_CONSTRUCTION                             :ساخت راه آهن
STR_RAIL_MENU_MONORAIL_CONSTRUCTION                             :ساخت مونوریل
STR_RAIL_MENU_MAGLEV_CONSTRUCTION                               :ساخت ریل مغناطیسی
STR_RAIL_TOOLBAR_TOOLTIP_BUILD_RAILROAD_TRACK                   :{BLACK}ساخت راه آهن
STR_RAIL_TOOLBAR_TOOLTIP_BUILD_RAILROAD_STATION                 :{BLACK} سات ایستگاه قطار
STR_RAIL_TOOLBAR_TOOLTIP_BUILD_RAILROAD_SIGNALS                 :{BLACK}ساخت چراغ راهنمایی راه آهن
STR_RAIL_TOOLBAR_TOOLTIP_BUILD_RAILROAD_BRIDGE                  :{BLACK} ساخت پل راه آهن
STR_RAIL_TOOLBAR_TOOLTIP_BUILD_RAILROAD_TUNNEL                  :{BLACK} ساخت تونل راه آهن
STR_RAIL_TOOLBAR_TOOLTIP_TOGGLE_BUILD_REMOVE_FOR                :{BLACK}تغییر بین حذف یا ساخت چراغ راهنمایی و ریل
STR_BUILD_BRIDGE_SELECTION_TOOLTIP                              :{BLACK} ساخت پل - بر روی پل مورد نظر خود کلیک کنید تا ساخته شود
STR_RAILROAD_TRACK                                              :قطعه ریل راه آهن
STR_ERROR_AREA_IS_OWNED_BY_ANOTHER                              :{WHITE} این ناحیه توسط شرکت دیگری تصاحب شده



##id 0x1800
STR_ERROR_MUST_REMOVE_ROAD_FIRST                                :{WHITE} اول باید جاده حذف شود
STR_ROAD_TOOLBAR_ROAD_CONSTRUCTION_CAPTION                      :{WHITE}ساخت جاده
STR_SELECT_ROAD_BRIDGE_CAPTION                                  :{WHITE} ساخت پل ماشین رو
STR_ERROR_CAN_T_BUILD_ROAD_HERE                                 :{WHITE} اینجا نمی توان جاده ساخت
STR_ERROR_CAN_T_REMOVE_ROAD_FROM                                :{WHITE}جاده را نمی شود از اینجا حذف کرد
STR_ERROR_CAN_T_BUILD_BUS_STATION                               :{WHITE}اینجا ایستگاه اتوبوس نمی شود ساخت
STR_ERROR_CAN_T_BUILD_TRUCK_STATION                             :{WHITE}اینجا ایستگاه کامیون نمیشود ساخت
STR_ROAD_MENU_ROAD_CONSTRUCTION                                 :ساخت جاده
STR_ROAD_TOOLBAR_TOOLTIP_BUILD_ROAD_SECTION                     :{BLACK}بخش ساخت جاده
STR_ROAD_TOOLBAR_TOOLTIP_BUILD_BUS_STATION                      :{BLACK}ساخت ایستگاه اتوبوس
STR_ROAD_TOOLBAR_TOOLTIP_BUILD_TRUCK_LOADING_BAY                :{BLACK}ساخت ایستگاه بارگیری/تخلیه بار کامیون
STR_ROAD_TOOLBAR_TOOLTIP_BUILD_ROAD_BRIDGE                      :{BLACK}ساخت پل ماشین رو
STR_ROAD_TOOLBAR_TOOLTIP_BUILD_ROAD_TUNNEL                      :{BLACK}ساخت تون ماشین رو
STR_ROAD_TOOLBAR_TOOLTIP_TOGGLE_BUILD_REMOVE_FOR_ROAD           :{BLACK} تغییر بین ساخت/حذف جاده
STR_ROAD_DESCRIPTION_ROAD                                       :جاده
STR_ROAD_DESCRIPTION_ROAD_WITH_STREETLIGHTS                     :جاده با چراغ راهنمایی رانندگی
STR_ROAD_DESCRIPTION_TREE_LINED_ROAD                            :جاده 3 لاین

##id 0x2000
STR_TOWN_DIRECTORY_CAPTION                                      :{WHITE}شهرها
STR_SIGN_SMALL_BLACK                                            :{TINYFONT}{BLACK}{SIGN}
STR_SIGN_SMALL_WHITE                                            :{TINYFONT}{WHITE}{SIGN}
STR_ERROR_BUILDING_MUST_BE_DEMOLISHED                           :{WHITE} اول باید ساختمان تخریب شود
STR_TOWN_VIEW_TOWN_CAPTION                                      :{WHITE}{TOWN}
STR_TOWN_VIEW_POPULATION_HOUSES                                 :{BLACK}جمعیت: {ORANGE}{COMMA}{BLACK}  خانه ها: {ORANGE}{COMMA}
STR_TOWN_VIEW_RENAME_TOWN_BUTTON                                :تغییر اسم شهر
STR_ERROR_CAN_T_RENAME_TOWN                                     :{WHITE}نمی توان اسم شهر را تغییر داد
STR_ERROR_LOCAL_AUTHORITY_REFUSES_TO_ALLOW_THIS                 :{WHITE} انجمن شهر {TOWN} اجازه این کار را نمیدهد
STR_TOWN_VIEW_RENAME_TOOLTIP                                    :{BLACK}تغییر نام شهر
STR_TOWN_VIEW_PASSENGERS_LAST_MONTH_MAX                         :{BLACK}مسافران در ماه گذشته: {ORANGE}{COMMA}{BLACK}  حداکثر: {ORANGE}{COMMA}
STR_TOWN_VIEW_MAIL_LAST_MONTH_MAX                               :{BLACK}نامه ها در ماه گذشته: {ORANGE}{COMMA}{BLACK}  حداکثر: {ORANGE}{COMMA}
STR_TOWN_BUILDING_NAME_TALL_OFFICE_BLOCK_1                      :ساختمان اداری بلند
STR_TOWN_BUILDING_NAME_OFFICE_BLOCK_1                           :ساختمان اداری
STR_TOWN_BUILDING_NAME_CHURCH_1                                 :کلیسا
STR_TOWN_BUILDING_NAME_LARGE_OFFICE_BLOCK_1                     :ساختمان اداری بزرگ
STR_TOWN_BUILDING_NAME_TOWN_HOUSES_1                            :خانه های شهر
STR_TOWN_BUILDING_NAME_HOTEL_1                                  :هتل
STR_TOWN_BUILDING_NAME_STATUE_1                                 :مجسمه
STR_TOWN_BUILDING_NAME_FOUNTAIN_1                               :فواره
STR_TOWN_BUILDING_NAME_PARK_1                                   :پارک
STR_TOWN_BUILDING_NAME_OFFICE_BLOCK_2                           :ساختمان اداری
STR_TOWN_BUILDING_NAME_SHOPS_AND_OFFICES_1                      :مغازه ها و ادارات
STR_TOWN_BUILDING_NAME_MODERN_OFFICE_BUILDING_1                 :ساختمان اداری مدرن
STR_TOWN_BUILDING_NAME_WAREHOUSE_1                              :انبار
STR_TOWN_BUILDING_NAME_OFFICE_BLOCK_3                           :ساختمان اداری
STR_TOWN_BUILDING_NAME_STADIUM_1                                :ورزشگاه
STR_TOWN_BUILDING_NAME_OLD_HOUSES_1                             :خانه قدیمی
STR_LOCAL_AUTHORITY_COMPANY_RATINGS                             :{BLACK} امتیازات شرکت
STR_LOCAL_AUTHORITY_COMPANY_RATING                              :{YELLOW}{COMPANY} {COMPANYNUM}: {ORANGE}{STRING}
STR_TOWN_BUILDING_NAME_COTTAGES_1                               :کلبه ها
STR_TOWN_BUILDING_NAME_HOUSES_1                                 :خانه ها
STR_TOWN_BUILDING_NAME_TALL_OFFICE_BLOCK_2                      :ساختمان اداری بلند
STR_TOWN_BUILDING_NAME_SHOPS_AND_OFFICES_2                      :فروشگاه ها و ادارات
STR_TOWN_BUILDING_NAME_SHOPS_AND_OFFICES_3                      :فروشگاه ها و ادارات
STR_TOWN_BUILDING_NAME_STADIUM_2                                :ورزشگاه
STR_TOWN_BUILDING_NAME_OFFICES_1                                :ادارات
STR_TOWN_BUILDING_NAME_HOUSES_2                                 :خانه ها
STR_TOWN_BUILDING_NAME_CINEMA_1                                 :سینما
STR_TOWN_BUILDING_NAME_SHOPPING_MALL_1                          :مرکز خرید
STR_LOCAL_AUTHORITY_DO_IT_BUTTON                                :{BLACK}انجام بده
STR_LOCAL_AUTHORITY_ACTIONS_TOOLTIP                             :{BLACK}لیست کارهایی که می شود در این شهر انجام داد- برای اطلاعات بیشتر کلیک کنید
STR_LOCAL_AUTHORITY_ACTIONS_TITLE                               :{BLACK}کارهای ممکن :
STR_LOCAL_AUTHORITY_ACTION_STATUE_OF_COMPANY                    :ساخت مجسمه رئیس شرکت
STR_LOCAL_AUTHORITY_ACTION_NEW_BUILDINGS                        :ساخت اختمان های جدید
STR_SMALLMAP_TOWN                                               :{TINYFONT}{WHITE}{TOWN}
STR_TOWN_DIRECTORY_TOWN                                         :{ORANGE}{TOWN}{BLACK} ({COMMA})
STR_TOWN_DESCRIPTION_UNDER_CONSTRUCTION                         :{STRING} (در دست ساخت)
STR_TOWN_BUILDING_NAME_IGLOO_1                                  :ایگلو
STR_TOWN_BUILDING_NAME_TEAPOT_HOUSE_1                           :خانه-قوری


##id 0x2800
STR_LANDSCAPING_MENU_PLANT_TREES                                :کاشتن درخت
STR_LANDSCAPING_MENU_PLACE_SIGN                                 :قرار دادن علامت
STR_PLANT_TREE_CAPTION                                          :{WHITE}درختان
STR_ERROR_TREE_ALREADY_HERE                                     :{WHITE} قبلا اینجا درخت کشته شده است
STR_ERROR_CAN_T_PLANT_TREE_HERE                                 :{WHITE} اینجا نمی شود درخت کاشت
STR_SIGN_WHITE                                                  :{WHITE}{SIGN}
STR_ERROR_TOO_MANY_SIGNS                                        :{WHITE} تعداد لامات بسیار زیاد شده
STR_ERROR_CAN_T_PLACE_SIGN_HERE                                 :{WHITE}اینجا نمی شود علامت ساخت
STR_SIGN_DEFAULT                                                :علامت
STR_EDIT_SIGN_CAPTION                                           :{WHITE}تغییر نام علامت
STR_ERROR_CAN_T_CHANGE_SIGN_NAME                                :{WHITE}نمی شود اسم علامت را عوض کرد
STR_PLANT_TREE_TOOLTIP                                          :{BLACK}نوع درخت را مشخص کنید تا کاشته شود
STR_TREE_NAME_TREES                                             :درختان
STR_TREE_NAME_RAINFOREST                                        :جنگل بارانی
STR_TREE_NAME_CACTUS_PLANTS                                     :کاکتوس

##id 0x3000
STR_STATION_BUILD_RAIL_CAPTION                                  :{WHITE}انتخاب ایستگاه راه آهن
STR_STATION_BUILD_AIRPORT_CAPTION                               :{WHITE}انتخاب فرودگاه
STR_STATION_BUILD_ORIENTATION                                   :{BLACK} جهت
STR_STATION_BUILD_NUMBER_OF_TRACKS                              :{BLACK} تعداد خطوط
STR_STATION_BUILD_PLATFORM_LENGTH                               :{BLACK}طول ایستگاه
STR_ERROR_TOO_CLOSE_TO_ANOTHER_RAILROAD                         :{WHITE}به ایستگاه دیگری بسیار نزدیک است
STR_ERROR_TOO_MANY_STATIONS_LOADING                             :{WHITE} تعداد محوطه های بارگیری/ایستگاه بسیار زیاد شده
STR_ERROR_TOO_CLOSE_TO_ANOTHER_STATION                          :{WHITE}به محوطه ی بارگیری/ایستگاه دیگری بسیار نزدیک است
STR_STATION_VIEW_CAPTION                                        :{WHITE}{STATION} {STATIONFEATURES}
STR_ERROR_MUST_DEMOLISH_RAILROAD                                :{WHITE} اول باید راه آهن تخریب شود
STR_ERROR_TOO_CLOSE_TO_ANOTHER_AIRPORT                          :{WHITE} به فرودگاه دیگری بسیار نزدیک شده
STR_ERROR_MUST_DEMOLISH_AIRPORT_FIRST                           :{WHITE} اول باید فرودگاه تخریب شود

STR_QUERY_RENAME_STATION_CAPTION                                :نام گذاری محوطه ایستگاه/بارگیری
STR_ERROR_CAN_T_RENAME_STATION                                  :{WHITE}نام این ایستگاه را نمی شود تغییر داد
STR_STATION_VIEW_RATINGS_BUTTON                                 :{BLACK}رده بندی
STR_STATION_VIEW_ACCEPTS_BUTTON                                 :{BLACK}قبول می کند
STR_STATION_VIEW_CARGO_RATINGS_TITLE                            :{BLACK}رده بندی محلی درباره ی وضعیت حمل و نقل

############ range for rating starts
STR_CARGO_RATING_APPALLING                                      :ترسناک
STR_CARGO_RATING_VERY_POOR                                      :بسیار ضعیف
STR_CARGO_RATING_POOR                                           :ضعیف
STR_CARGO_RATING_MEDIOCRE                                       :متوسط
STR_CARGO_RATING_GOOD                                           :خوب
STR_CARGO_RATING_VERY_GOOD                                      :بسیار خوب
STR_CARGO_RATING_EXCELLENT                                      :عالی
STR_CARGO_RATING_OUTSTANDING                                    :بسیار عالی
############ range for rating ends

STR_STATION_VIEW_CARGO_RATING                                   :{WHITE}{STRING}: {YELLOW}{STRING} ({COMMA}%)
STR_NEWS_STATION_NO_LONGER_ACCEPTS_CARGO                        :{WHITE}{STATION} دیگر {STRING} قبول نمی کند
STR_NEWS_STATION_NO_LONGER_ACCEPTS_CARGO_OR_CARGO               :{WHITE}{STATION} دیگر {STRING} و {STRING} قبول نمی کند
STR_NEWS_STATION_NOW_ACCEPTS_CARGO                              :{WHITE}{STATION} از این پس {STRING} را هم قبول می کند
STR_ERROR_TOO_CLOSE_TO_ANOTHER_DOCK                             :{WHITE}به بندر دیگری بسییار نزدیک است
STR_ERROR_MUST_DEMOLISH_DOCK_FIRST                              :{WHITE}باید اول بندر را تخریب کرد
STR_STATION_BUILD_RAILROAD_ORIENTATION_TOOLTIP                  :{BLACK}انتخاب جهت ایستگاه راه آهن
STR_STATION_BUILD_NUMBER_OF_TRACKS_TOOLTIP                      :{BLACK}انتخاب تعداد سکوها برای ایستگاه راه آهن
STR_STATION_BUILD_PLATFORM_LENGTH_TOOLTIP                       :{BLACK}انتخاب طول ایستگاه راه آهن
STR_STATION_BUILD_BUS_ORIENTATION_TOOLTIP                       :{BLACK}انتخاب جهت ایستگاه اتوبوس
STR_STATION_BUILD_TRUCK_ORIENTATION_TOOLTIP                     :{BLACK}انتخاب جهت محل بارگیری کامیون
STR_STATION_VIEW_CENTER_TOOLTIP                                 :{BLACK}مرکز تصویر اصلی را روی محل ایستگاه قرار بده
STR_STATION_VIEW_RATINGS_TOOLTIP                                :{BLACK}نشان دادن امتیازات ایستگاه
STR_STATION_VIEW_RENAME_TOOLTIP                                 :{BLACK}تغییر نام ایستگاه
STR_STATION_VIEW_ACCEPTS_TOOLTIP                                :{BLACK}نشان دادن لیست کالاهای قابل دریافت
STR_STATION_LIST_TOOLTIP                                        :{BLACK}نام ایستگاه ها- بر روی نام کلیک کنید تا مرکز صفحه را بر روی ایستگاه قرار دهد
STR_STATION_BUILD_AIRPORT_TOOLTIP                               :{BLACK}انتخاب اندازه/نوع فرودگاه
STR_STATION_SIGN                                                :{STATION} {STATIONFEATURES}
STR_STATION_DESCRIPTION_RAILROAD_STATION                        :ایستگاه راه آهن
STR_STATION_DESCRIPTION_AIRCRAFT_HANGAR                         :آشیانه هواپیما
STR_STATION_DESCRIPTION_AIRPORT                                 :فرودگاه
STR_STATION_DESCRIPTION_TRUCK_LOADING_AREA                      :محوطه بارگیری کامیون
STR_STATION_DESCRIPTION_BUS_STATION                             :ایستگاه اتوبوس
STR_STATION_DESCRIPTION_SHIP_DOCK                               :اسکله
STR_STATION_BUILD_COVERAGE_AREA_TITLE                           :{BLACK}نور ناحیه ی اطراف ایستگاه
STR_STATION_BUILD_DOCK_CAPTION                                  :{WHITE}اسکله
STR_ERROR_STATION_TOO_SPREAD_OUT                                :{WHITE}ایستگاه زیادی پخش شده است


##id 0x3800
STR_ERROR_MUST_BE_BUILT_ON_WATER                                :{WHITE} باید بر روی آب ساخته شود
STR_WATER_DESCRIPTION_WATER                                     :آب
STR_WATER_DESCRIPTION_COAST_OR_RIVERBANK                        :خلیج یا ساحل رودخانه
STR_ERROR_CAN_T_BUILD_ON_WATER                                  :{WHITE}نمی شود بر روی آب ساخت

##id 0x4000
