##name Bulgarian
##ownname Български
##isocode bg_BG.UTF-8
##plural 0

##id 0x0000
STR_0001_OFF_EDGE_OF_MAP                                        :{WHITE}Извън картата
STR_0226_RANDOM_LAND                                            :{BLACK}Случаен терен
STR_0227_RESET_LAND                                             :{BLACK}Изчисти терена
STR_0228_INCREASE_SIZE_OF_LAND_AREA                             :{BLACK}Увеличи площа на терена, за да го понижиш/повишиш
STR_0229_DECREASE_SIZE_OF_LAND_AREA                             :{BLACK}Намали площа на терена, за да го понижиш/повишиш
STR_022A_GENERATE_RANDOM_LAND                                   :{BLACK}Генерирай случаен терен
STR_022B_RESET_LANDSCAPE                                        :{BLACK}Изчисти терена
STR_022C_RESET_LANDSCAPE                                        :{WHITE}Изчисти терена
STR_022D_ARE_YOU_SURE_YOU_WANT_TO                               :{WHITE}Желаете ли да изчистите терена?
STR_022E_LANDSCAPE_GENERATION                                   :{BLACK}Създаване на терен
STR_022F_TOWN_GENERATION                                        :{BLACK}Създаване на град
STR_0230_INDUSTRY_GENERATION                                    :{BLACK}Създаване на индустрия
STR_0231_ROAD_CONSTRUCTION                                      :{BLACK}Строене на път
STR_0233_TOWN_GENERATION                                        :{WHITE}Създаване на град
STR_0234_NEW_TOWN                                               :{BLACK}Нов град
STR_0235_CONSTRUCT_NEW_TOWN                                     :{BLACK}Построй нов град
STR_0236_CAN_T_BUILD_TOWN_HERE                                  :{WHITE}Не може да построиш град тук...
STR_0237_TOO_CLOSE_TO_EDGE_OF_MAP                               :{WHITE}...прекалено близо до края на картата
STR_0238_TOO_CLOSE_TO_ANOTHER_TOWN                              :{WHITE}...прекалено близо до друг град
STR_0239_SITE_UNSUITABLE                                        :{WHITE}...неподходящо място
STR_023A_TOO_MANY_TOWNS                                         :{WHITE}...прекалено много градове
STR_CANNOT_GENERATE_TOWN                                        :{WHITE}Не може да се строят градове
STR_023B_INCREASE_SIZE_OF_TOWN                                  :{BLACK}Увеличи размера на града
STR_023C_EXPAND                                                 :{BLACK}Увеличи
STR_023D_RANDOM_TOWN                                            :{BLACK}Случаен град
STR_023E_BUILD_TOWN_IN_RANDOM_LOCATION                          :{BLACK}Построяване град на произволно място
STR_023F_INDUSTRY_GENERATION                                    :{WHITE}Създаване на индустрия
STR_0240_COAL_MINE                                              :{BLACK}Въглищна мина
STR_0241_POWER_STATION                                          :{BLACK}Електростанция
STR_0242_SAWMILL                                                :{BLACK}Дъскорезница
STR_0243_FOREST                                                 :{BLACK}Гора
STR_0244_OIL_REFINERY                                           :{BLACK}Рафинерия
STR_0245_OIL_RIG                                                :{BLACK}Нефтена платформа
STR_0246_FACTORY                                                :{BLACK}Завод
STR_0247_STEEL_MILL                                             :{BLACK}Стоманолеярна
STR_0248_FARM                                                   :{BLACK}Ферма
STR_0249_IRON_ORE_MINE                                          :{BLACK}Желязна мина
STR_024A_OIL_WELLS                                              :{BLACK}Нефтен кладенец
STR_024B_BANK                                                   :{BLACK}Банка
STR_024C_PAPER_MILL                                             :{BLACK}Хартиена фабрика
STR_024D_FOOD_PROCESSING_PLANT                                  :{BLACK}Хранителна фабрика
STR_024E_PRINTING_WORKS                                         :{BLACK}Печатница
STR_024F_GOLD_MINE                                              :{BLACK}Златна мина
STR_0250_LUMBER_MILL                                            :{BLACK}Дъскорезница
STR_0251_FRUIT_PLANTATION                                       :{BLACK}Офошна градина
STR_0252_RUBBER_PLANTATION                                      :{BLACK}Каучукова плантация
STR_0253_WATER_SUPPLY                                           :{BLACK}Водоизточник
STR_0254_WATER_TOWER                                            :{BLACK}Водна кула
STR_0255_DIAMOND_MINE                                           :{BLACK}Диамантена мина
STR_0256_COPPER_ORE_MINE                                        :{BLACK}Медна мина
STR_0257_COTTON_CANDY_FOREST                                    :{BLACK}Гора от захарен памук
STR_0258_CANDY_FACTORY                                          :{BLACK}Сладкарски цех
STR_0259_BATTERY_FARM                                           :{BLACK}Ферма за батерии
STR_025A_COLA_WELLS                                             :{BLACK}Кола кладенци
STR_025B_TOY_SHOP                                               :{BLACK}Магазин за играчки
STR_025C_TOY_FACTORY                                            :{BLACK}Фабрика за играчки
STR_025D_PLASTIC_FOUNTAINS                                      :{BLACK}Пластмасови фонтани
STR_025E_FIZZY_DRINK_FACTORY                                    :{BLACK}Завод за газирани напитки
STR_025F_BUBBLE_GENERATOR                                       :{BLACK}Генератор на балончета
STR_0260_TOFFEE_QUARRY                                          :{BLACK}Карамеломна
STR_0261_SUGAR_MINE                                             :{BLACK}Захарна мина
STR_0262_CONSTRUCT_COAL_MINE                                    :{BLACK}Строене въглещна мина
STR_0263_CONSTRUCT_POWER_STATION                                :{BLACK}Строене електростанция
STR_0264_CONSTRUCT_SAWMILL                                      :{BLACK}Строене дъскорезница
STR_0265_PLANT_FOREST                                           :{BLACK}Посадяване гора
STR_0266_CONSTRUCT_OIL_REFINERY                                 :{BLACK}Строене рафинерия
STR_0267_CONSTRUCT_OIL_RIG_CAN_ONLY                             :{BLACK}Строене нефтена платформа (само в до краищата на картата)
STR_0268_CONSTRUCT_FACTORY                                      :{BLACK}Строене завод
STR_0269_CONSTRUCT_STEEL_MILL                                   :{BLACK}Строене стоманолеярна
STR_026A_CONSTRUCT_FARM                                         :{BLACK}Строене ферма
STR_026B_CONSTRUCT_IRON_ORE_MINE                                :{BLACK}Строене желязна мина
STR_026C_CONSTRUCT_OIL_WELLS                                    :{BLACK}Строене нефтени кладенци
STR_026D_CONSTRUCT_BANK_CAN_ONLY                                :{BLACK}Строене банка (Само в градове с население повече от 1200)
STR_026E_CONSTRUCT_PAPER_MILL                                   :{BLACK}Строене хартиена фабрика
STR_026F_CONSTRUCT_FOOD_PROCESSING                              :{BLACK}Строене хранителна фабрика
STR_0270_CONSTRUCT_PRINTING_WORKS                               :{BLACK}Строене печатница
STR_0271_CONSTRUCT_GOLD_MINE                                    :{BLACK}Строене златна мина
STR_0272_CONSTRUCT_BANK_CAN_ONLY                                :{BLACK}Строене банка (само в градове)
STR_0273_CONSTRUCT_LUMBER_MILL_TO                               :{BLACK}Строене дъскорезница (за изсичане на гората и произвеждане на дърва)
STR_0274_PLANT_FRUIT_PLANTATION                                 :{BLACK}Засаждане овощна градина
STR_0275_PLANT_RUBBER_PLANTATION                                :{BLACK}Засаждане каучукова градина
STR_0276_CONSTRUCT_WATER_SUPPLY                                 :{BLACK}Строяване водоизточник
STR_0277_CONSTRUCT_WATER_TOWER_CAN                              :{BLACK}Строене водна кула(само в градове)
STR_0278_CONSTRUCT_DIAMOND_MINE                                 :{BLACK}Строене диамантена мина
STR_0279_CONSTRUCT_COPPER_ORE_MINE                              :{BLACK}Строене медна мина
STR_027A_PLANT_COTTON_CANDY_FOREST                              :{BLACK}Посаждане гора от захарен памук
STR_027B_CONSTRUCT_CANDY_FACTORY                                :{BLACK}Строене сладкарски цех
STR_027C_CONSTRUCT_BATTERY_FARM                                 :{BLACK}Строене ферма за батерии
STR_027D_CONSTRUCT_COLA_WELLS                                   :{BLACK}Строене кола кладенци
STR_027E_CONSTRUCT_TOY_SHOP                                     :{BLACK}Строене магазин за играчки
STR_027F_CONSTRUCT_TOY_FACTORY                                  :{BLACK}Строене завод за играчки
STR_0280_CONSTRUCT_PLASTIC_FOUNTAINS                            :{BLACK}Строене пластмасови фонтани
STR_0281_CONSTRUCT_FIZZY_DRINK_FACTORY                          :{BLACK}Строене завод за газирани напитки
STR_0282_CONSTRUCT_BUBBLE_GENERATOR                             :{BLACK}Строене генератор на балончета
STR_0283_CONSTRUCT_TOFFEE_QUARRY                                :{BLACK}Строене карамеломна
STR_0284_CONSTRUCT_SUGAR_MINE                                   :{BLACK}Строене захарна мина
STR_0285_CAN_T_BUILD_HERE                                       :{WHITE}Не може да построи {STRING} тук...
STR_0286_MUST_BUILD_TOWN_FIRST                                  :{WHITE}...трябва град
STR_0287_ONLY_ONE_ALLOWED_PER_TOWN                              :{WHITE}...само по един на град
STR_0288_PLANT_TREES                                            :{BLACK}Посаждане дърва
STR_0289_PLACE_SIGN                                             :{BLACK}Поставяне табела
STR_028A_RANDOM_TREES                                           :{BLACK}Произволни дървета
STR_028B_PLANT_TREES_RANDOMLY_OVER                              :{BLACK}Засаждане дървета на произволни места
STR_028C_PLACE_ROCKY_AREAS_ON_LANDSCAPE                         :{BLACK}Поставяне скалисти области
STR_028D_PLACE_LIGHTHOUSE                                       :{BLACK}Поставяне фар
STR_028E_PLACE_TRANSMITTER                                      :{BLACK}Постави предавател
STR_028F_DEFINE_DESERT_AREA                                     :{BLACK}Избери пустинен терен.{}Задръж CTRL за да го премахнеш.
STR_0290_DELETE                                                 :{BLACK}Изтрий
STR_0291_DELETE_THIS_TOWN_COMPLETELY                            :{BLACK}Премахни този град
STR_0292_SAVE_SCENARIO                                          :
STR_0293_LOAD_SCENARIO                                          :Зареждане на сценарий
STR_0294_QUIT_EDITOR                                            :Изход от редактора
STR_0295                                                        :
STR_0296_QUIT                                                   :Изход
STR_0297_SAVE_SCENARIO_LOAD_SCENARIO                            :{BLACK}Запис и зареждане на сценарий, затваряне редактора, изход
STR_0298_LOAD_SCENARIO                                          :{WHITE}Зареждане на сценарии
STR_0299_SAVE_SCENARIO                                          :{WHITE}Запис на сценарии
STR_029A_PLAY_SCENARIO                                          :{BLACK}Играене на сценарий
STR_029B_ARE_YOU_SURE_YOU_WANT_TO                               :{YELLOW}Наистина ли желаете изход от сценария?
STR_029C_QUIT_EDITOR                                            :{WHITE}Затваряне на редактора
STR_029D_CAN_ONLY_BE_BUILT_IN_TOWNS                             :{WHITE}...може да бъде построен само в градове с население повече от 1200
STR_029E_MOVE_THE_STARTING_DATE                                 :{BLACK}Премести назад началната дата с 1 година
STR_029F_MOVE_THE_STARTING_DATE                                 :{BLACK}Премести напред началната дата с 1 година
STR_02A0_ENDS_OF_BRIDGE_MUST_BOTH                               :{WHITE}...краищата на моста трябва да бъдат на земя
STR_02A1_SMALL                                                  :{BLACK}Малък
STR_02A2_MEDIUM                                                 :{BLACK}Среден
STR_02A3_LARGE                                                  :{BLACK}Голям
STR_02A4_SELECT_TOWN_SIZE                                       :{BLACK}Избери големина на града
STR_02A5_TOWN_SIZE                                              :{YELLOW}Големина на града:

STR_02B6                                                        :{STRING}  -  {STRING}
STR_02B7_SHOW_LAST_MESSAGE_OR_NEWS                              :{BLACK}Покажи последното съобщение или отчет на новините
STR_02BA                                                        :{SILVER}- -  {COMPANY}  - -
STR_02BB_TOWN_DIRECTORY                                         :Списък от градовете
STR_02BC_VEHICLE_DESIGN_NAMES                                   :{BLACK}Имена на превозни средства
STR_02BD                                                        :{BLACK}{STRING}
STR_02BE_DEFAULT                                                :По подразбиране
STR_02BF_CUSTOM                                                 :Изборен
STR_02C0_SAVE_CUSTOM_NAMES                                      :{BLACK}Запис на новоизбраните имена
STR_02C1_VEHICLE_DESIGN_NAMES_SELECTION                         :{BLACK}Избор на имена на превозни средства
STR_02C2_SAVE_CUSTOMIZED_VEHICLE                                :{BLACK}Запис на имена на превозни средства

############ range for menu	starts
STR_02C3_GAME_OPTIONS                                           :Игрови опции
STR_02C5_DIFFICULTY_SETTINGS                                    :Опции за трудност
STR_02C7_CONFIG_PATCHES                                         :Конфигурирай патчове
STR_NEWGRF_SETTINGS                                             :Newgrf настройки
STR_02CA_TOWN_NAMES_DISPLAYED                                   :{SETX 12}Показване имената на градовете
STR_02CC_STATION_NAMES_DISPLAYED                                :{SETX 12}Показване имената на станциите
STR_02CE_SIGNS_DISPLAYED                                        :{SETX 12}Показване на табелите
STR_02D0_FULL_ANIMATION                                         :{SETX 12}Пълна анимация
STR_02D2_FULL_DETAIL                                            :{SETX 12}Пълни подробности
STR_02D4_TRANSPARENT_BUILDINGS                                  :{SETX 12}Прозрачни сгради
############ range ends	here

############ range for menu	starts
STR_02D5_LAND_BLOCK_INFO                                        :Информация за терена
STR_02D6                                                        :
STR_02D7_SCREENSHOT_CTRL_S                                      :Screenshot (Ctrl-S)
STR_02D8_GIANT_SCREENSHOT_CTRL_G                                :Огромен Screenshot (Ctrl-G)
STR_02D9_ABOUT_OPENTTD                                          :За 'OpenTTD'
############ range ends	here

STR_02DB_OFF                                                    :{BLACK}Изключен
STR_02DA_ON                                                     :{BLACK}Включен
STR_02DC_DISPLAY_SUBSIDIES                                      :{BLACK}Покажи субсидиите
STR_02DD_SUBSIDIES                                              :Субсидии
STR_02DE_MAP_OF_WORLD                                           :Карта на света
STR_02DF_TOWN_DIRECTORY                                         :Списък на градовете

STR_02E0_CURRENCY_UNITS                                         :{BLACK}Валутна единица
STR_02E1                                                        :{BLACK}{SKIP}{STRING}
STR_02E2_CURRENCY_UNITS_SELECTION                               :{BLACK}Избиране на валутна единица
STR_02E4                                                        :{BLACK}{SKIP}{SKIP}{STRING}
STR_02E6_ROAD_VEHICLES                                          :{BLACK}Пътни превозни средства
STR_02E7                                                        :{BLACK}{SKIP}{SKIP}{SKIP}{STRING}
STR_02E8_SELECT_SIDE_OF_ROAD_FOR                                :{BLACK}Избери посока на движение по пътищата
STR_02E9_DRIVE_ON_LEFT                                          :Ляво движение
STR_02EA_DRIVE_ON_RIGHT                                         :Дясно движение
STR_02EB_TOWN_NAMES                                             :{BLACK}Имена на градовете
STR_02EC                                                        :{BLACK}{SKIP}{SKIP}{SKIP}{SKIP}{STRING}
STR_02ED_SELECT_STYLE_OF_TOWN_NAMES                             :{BLACK}Избери стила на имената на градовете

STR_02F4_AUTOSAVE                                               :{BLACK}Автозапазване
STR_02F5                                                        :{BLACK}{SKIP}{SKIP}{SKIP}{SKIP}{SKIP}{STRING}
STR_02F6_SELECT_INTERVAL_BETWEEN                                :{BLACK}Избери интервала между две автозапазвания
STR_02F7_OFF                                                    :Изключено
STR_02F8_EVERY_3_MONTHS                                         :На всеки 3 месеца
STR_02F9_EVERY_6_MONTHS                                         :На всеки 6 месеца
STR_02FA_EVERY_12_MONTHS                                        :На всеки 12 месеца
STR_02FB_START_A_NEW_GAME                                       :{BLACK}Започни нова игра
STR_02FC_LOAD_A_SAVED_GAME                                      :{BLACK}Отвори запасена игра
STR_02FE_CREATE_A_CUSTOMIZED_GAME                               :{BLACK}Създай свой собствен карта-свят
STR_02FF_SELECT_SINGLE_PLAYER_GAME                              :{BLACK}Избери игра със себе си
STR_0300_SELECT_MULTIPLAYER_GAME                                :{BLACK}Избери игра в интернета с още 1-7 други играча
STR_0301_DISPLAY_GAME_OPTIONS                                   :{BLACK}Покажи параметрите на играта
STR_0302_DISPLAY_DIFFICULTY_OPTIONS                             :{BLACK}Покажи параметрите на трудност
STR_0303_START_A_NEW_GAME_USING                                 :{BLACK}Започни нова игра, използвайки предварително моделиран карта-свят
STR_0304_QUIT                                                   :{BLACK}Излез
STR_0305_QUIT_OPENTTD                                           :{BLACK}Излез от играта 'OpenTTD'
STR_0307_OPENTTD                                                :{WHITE}OpenTTD {REV}
STR_030D_CAN_ONLY_BE_BUILT_IN_TOWNS                             :{WHITE}...може да се построи само в градовете
STR_030E_SELECT_TEMPERATE_LANDSCAPE                             :{BLACK}Избери "умерен" климат на картата
STR_030F_SELECT_SUB_ARCTIC_LANDSCAPE                            :{BLACK}Избери "зимен" климат на картата
STR_0310_SELECT_SUB_TROPICAL_LANDSCAPE                          :{BLACK}Избери "пустинен" климат на картата
STR_0311_SELECT_TOYLAND_LANDSCAPE                               :{BLACK}Избери "играчков" тип на картата
STR_0312_FUND_CONSTRUCTION_OF_NEW                               :{BLACK}Инвестирай в нова индустрия

############ range for menu	starts
STR_0313_FUND_NEW_INDUSTRY                                      :Инвестирай в нова индустрия
############ range ends here

STR_0314_FUND_NEW_INDUSTRY                                      :{WHITE}Инвестирай в нова индустрия
STR_0316_CAN_ONLY_BE_BUILT_IN_TOWNS                             :{WHITE}...може да бъде построено само в градовете
STR_0317_CAN_ONLY_BE_BUILT_IN_RAINFOREST                        :{WHITE}...може да бъде построено само около и в джунглите
STR_0318_CAN_ONLY_BE_BUILT_IN_DESERT                            :{WHITE}...може да бъде построено само около и в пустините
STR_0319_PAUSED                                                 :{YELLOW}* * ИГРАТА Е В ПАУЗА  *  *

STR_031B_SCREENSHOT_SUCCESSFULLY                                :{WHITE}Екраноснимката е успешно зъхранена с името '{STRING}'
STR_031C_SCREENSHOT_FAILED                                      :{WHITE}Екраноснимката не се получи!

STR_0329_PURCHASE_LAND_FOR_FUTURE                               :{BLACK}Купи земя за бъдещо ползване
STR_032F_AUTOSAVE                                               :{RED}АВТОЗАПАЗВАНЕ
STR_0330_SELECT_EZY_STREET_STYLE                                :{BLACK}Избери програмата 'Ezy Street style music'

STR_0335_6                                                      :{BLACK}6
STR_0336_7                                                      :{BLACK}7

############ start of townname region
STR_TOWNNAME_ORIGINAL_ENGLISH                                   :Английски
STR_TOWNNAME_FRENCH                                             :Френски
STR_TOWNNAME_GERMAN                                             :Германски
STR_TOWNNAME_LATIN_AMERICAN                                     :Латиноамерикански
STR_TOWNNAME_SWEDISH                                            :Шведски
STR_TOWNNAME_DUTCH                                              :Холандски
STR_TOWNNAME_FINNISH                                            :Финландски
STR_TOWNNAME_POLISH                                             :Полски
STR_TOWNNAME_SLOVAKISH                                          :Словашки
STR_TOWNNAME_NORWEGIAN                                          :Норвежки
STR_TOWNNAME_HUNGARIAN                                          :Унгарски
STR_TOWNNAME_AUSTRIAN                                           :Австрийски
STR_TOWNNAME_ROMANIAN                                           :Румънски
STR_TOWNNAME_CZECH                                              :Чешки
STR_TOWNNAME_SWISS                                              :Швейцарски
STR_TOWNNAME_DANISH                                             :Датски
STR_TOWNNAME_TURKISH                                            :Турски
############ end of	townname region







STR_AUTOSAVE_1_MONTH                                            :Всеки месец
STR_AUTOSAVE_FAILED                                             :{WHITE}Автозапазването е неуспешно



STR_BAGS                                                        :торби


STR_CANT_SHARE_ORDER_LIST                                       :{WHITE}Не може да се споделя списъка със задачи...
STR_CANT_COPY_ORDER_LIST                                        :{WHITE}Не може да се копира списъка от задачи...


# Start of order review system.
# DON'T ADD OR REMOVE LINES HERE
STR_AIRCRAFT_HAS_TOO_FEW_ORDERS                                 :{WHITE}Самолет {COMMA} има прекалено малко заповеди в програмата си
STR_AIRCRAFT_HAS_VOID_ORDER                                     :{WHITE}Самолет {COMMA} има празна заповед
STR_AIRCRAFT_HAS_DUPLICATE_ENTRY                                :{WHITE}Самолет {COMMA} има повтарящи се заповеди
STR_AIRCRAFT_HAS_INVALID_ENTRY                                  :{WHITE}Самолет {COMMA} има невалидно летище в своите заповеди
# end of order system

STR_AIRCRAFT_AUTORENEW_FAILED                                   :{WHITE}Автообновяването на самолето е неуспешно {COMMA} (ограничени средства)

STR_CONFIG_PATCHES                                              :{BLACK}Конфигурация на кръпки
STR_CONFIG_PATCHES_CAPTION                                      :{WHITE}Настройка на кръпките

STR_CONFIG_PATCHES_OFF                                          :Изключено
STR_CONFIG_PATCHES_ON                                           :Включено
STR_CONFIG_PATCHES_BUILDONSLOPES                                :{LTBLUE}Позволяване строенето на склонове и брегове: {ORANGE}{STRING}
STR_CONFIG_PATCHES_CATCHMENT                                    :{LTBLUE}По-реалистична зона за обслужване: {ORANGE}{STRING}
STR_CONFIG_PATCHES_EXTRADYNAMITE                                :{LTBLUE}Премахване на повече неща собственост на град: {ORANGE}{STRING}
STR_CONFIG_PATCHES_MAMMOTHTRAINS                                :{LTBLUE}Строене на много дълги влакове: {ORANGE}{STRING}
STR_CONFIG_PATCHES_REALISTICACCEL                               :{LTBLUE}Реалистично ускоряване на влаковете: {ORANGE}{STRING}
STR_CONFIG_PATCHES_FORBID_90_DEG                                :{LTBLUE}Забрана на влакове и кораби да правят 90 градусови завои: {ORANGE}{STRING} {LTBLUE} (трябва NPF)
STR_CONFIG_PATCHES_JOINSTATIONS                                 :{LTBLUE}Обединяване на гари построени една до друга: {ORANGE}{STRING}
STR_CONFIG_PATCHES_FULLLOADANY                                  :{LTBLUE}Напускане на станцията когато някой товар е пълен, при 'пълно зареждане': {ORANGE}{STRING}
STR_CONFIG_PATCHES_IMPROVEDLOAD                                 :{LTBLUE}Подобрен алгоритъм за зареждане: {ORANGE}{STRING}
STR_CONFIG_PATCHES_INFLATION                                    :{LTBLUE}Инфлация: {ORANGE}{STRING}
STR_CONFIG_PATCHES_SELECTGOODS                                  :{LTBLUE}Доставяне на стока до станция само ако има търсене: {ORANGE}{STRING}
STR_CONFIG_PATCHES_LONGBRIDGES                                  :{LTBLUE}Строене на много дълги мостове: {ORANGE}{STRING}
STR_CONFIG_PATCHES_GOTODEPOT                                    :{LTBLUE}Сервиз в маршрута: {ORANGE}{STRING}
STR_CONFIG_PATCHES_BUILDXTRAIND                                 :{LTBLUE}Позволяване израждане на промишленост добиваща суровини: {ORANGE}{STRING}
STR_CONFIG_PATCHES_MULTIPINDTOWN                                :{LTBLUE}Няколко еднакви индустрии на град: {ORANGE}{STRING}
STR_CONFIG_PATCHES_SAMEINDCLOSE                                 :{LTBLUE}Индустрии от еднакъв тип могат да бъдат строени близо една до друга: {ORANGE}{STRING}
STR_CONFIG_PATCHES_LONGDATE                                     :{LTBLUE}Показване на дълга дата в статус бара: {ORANGE}{STRING}
STR_CONFIG_PATCHES_NEW_NONSTOP                                  :{LTBLUE}TTDPatch съвместима обработка на "без спиране": {ORANGE}{STRING}
STR_CONFIG_PATCHES_ROADVEH_QUEUE                                :{LTBLUE}Опашка на колите (с квантов ефект): {ORANGE}{STRING}
STR_CONFIG_PATCHES_AUTOSCROLL                                   :{LTBLUE}Преместване на прозореца когато мишката е в края: {ORANGE}{STRING}
STR_CONFIG_PATCHES_BRIBE                                        :{LTBLUE}Подкупване на местната власт: {ORANGE}{STRING}
STR_CONFIG_PATCHES_NONUNIFORM_STATIONS                          :{LTBLUE}Нестандартни станции: {ORANGE}{STRING}
STR_CONFIG_PATCHES_NEW_PATHFINDING_ALL                          :{LTBLUE}Нов глобален навигатор (NPF, отменя NTP): {ORANGE}{STRING}


STR_CONFIG_PATCHES_LOST_TRAIN_DAYS                              :{LTBLUE}Влак се е загубил, ако няма прогрес за: {ORANGE}{STRING} дни
STR_CONFIG_PATCHES_LOST_TRAIN_DAYS_DISABLED                     :{LTBLUE}Влак се е загубил, ако няма прогрес за: {ORANGE}изключено
STR_CONFIG_PATCHES_ORDER_REVIEW                                 :{LTBLUE}Преглед на маршрута: {ORANGE}{STRING}
STR_CONFIG_PATCHES_ORDER_REVIEW_OFF                             :не
STR_CONFIG_PATCHES_ORDER_REVIEW_EXDEPOT                         :да, но прескочи спрените превозни средства
STR_CONFIG_PATCHES_ORDER_REVIEW_ON                              :от всички превозни средства
STR_CONFIG_PATCHES_NEVER_EXPIRE_VEHICLES                        :{LTBLUE}Превозните средства никога не губят валидност: {ORANGE}{STRING}
STR_CONFIG_PATCHES_AUTORENEW_VEHICLE                            :{LTBLUE}Автоматично подновяване на превозно средство когато то остарее
STR_CONFIG_PATCHES_AUTORENEW_MONTHS                             :{LTBLUE}Автоматично подновяване когато превозното средство е {ORANGE}{STRING}{LTBLUE} месеца преди/след максималната възраст
STR_CONFIG_PATCHES_AUTORENEW_MONEY                              :{LTBLUE}Автоматично възстановяване на минималната сума пари необходима за започване отначало: {ORANGE}{STRING}
STR_CONFIG_PATCHES_ERRMSG_DURATION                              :{LTBLUE}Продължителност на съобщенията за грешки: {ORANGE}{STRING}
STR_CONFIG_PATCHES_POPULATION_IN_LABEL                          :{LTBLUE}Населението на града в етикета с името на града: {ORANGE}{STRING}
STR_CONFIG_PATCHES_INVISIBLE_TREES                              :{LTBLUE}Невидими дървета (с невидими сгради): {ORANGE}{STRING}

STR_CONFIG_PATCHES_LAND_GENERATOR                               :{LTBLUE}Генератор на земя: {ORANGE}{STRING}
STR_CONFIG_PATCHES_LAND_GENERATOR_ORIGINAL                      :Оригинал
STR_CONFIG_PATCHES_LAND_GENERATOR_TERRA_GENESIS                 :ТераГенезис
STR_CONFIG_PATCHES_OIL_REF_EDGE_DISTANCE                        :{LTBLUE}Максимално разстояние на Нефтените рафинерии от краищата на картата {ORANGE}{STRING}
STR_CONFIG_PATCHES_HEIGHTMAP_ROTATION                           :{LTBLUE}Завъртане на картата: {ORANGE}{STRING}
STR_CONFIG_PATCHES_HEIGHTMAP_ROTATION_COUNTER_CLOCKWISE         :Обратрно на часовниковата стрелка
STR_CONFIG_PATCHES_HEIGHTMAP_ROTATION_CLOCKWISE                 :По часовниковата стрелка
STR_CONFIG_PATCHES_PROGRESS_UPDATE_INTERVAL                     :{LTBLUE}Интервал на ъпдейтване на развитието : {ORANGE}{STRING} ms

STR_CONFIG_PATCHES_SERVICEATHELIPAD                             :{LTBLUE}Автоматичен сервиз на хеликоптерите при кацане на хелипад: {ORANGE}{STRING}
STR_CONFIG_PATCHES_LINK_TERRAFORM_TOOLBAR                       :{LTBLUE}Връзване на инструментите за терен с инструментите за жп/път/вода/летище: {ORANGE}{STRING}
STR_CONFIG_PATCHES_REVERSE_SCROLLING                            :{LTBLUE}Обърната посока на преместване???: {ORANGE}{STRING}
STR_CONFIG_PATCHES_LIVERIES                                     :{LTBLUE}Покажи цветовете на компанията: {ORANGE}{STRING}
STR_CONFIG_PATCHES_LIVERIES_NONE                                :Нито една
STR_CONFIG_PATCHES_LIVERIES_OWN                                 :Твоята компания
STR_CONFIG_PATCHES_LIVERIES_ALL                                 :Всички компании

STR_CONFIG_PATCHES_MAX_TRAINS                                   :{LTBLUE}Макс. влакове на играч: {ORANGE}{STRING}
STR_CONFIG_PATCHES_MAX_ROADVEH                                  :{LTBLUE}Макс. брой коли на играч: {ORANGE}{STRING}
STR_CONFIG_PATCHES_MAX_AIRCRAFT                                 :{LTBLUE}Макс. брой самолети на играч: {ORANGE}{STRING}
STR_CONFIG_PATCHES_MAX_SHIPS                                    :{LTBLUE}Макс. брой кораби на играч: {ORANGE}{STRING}

STR_CONFIG_PATCHES_AI_BUILDS_TRAINS                             :{LTBLUE}Премахване на влаковете за компютърния играч: {ORANGE}{STRING}
STR_CONFIG_PATCHES_AI_BUILDS_ROADVEH                            :{LTBLUE}Премахване на пътните превозни средства за компютърния играч: {ORANGE}{STRING}
STR_CONFIG_PATCHES_AI_BUILDS_AIRCRAFT                           :{LTBLUE}Премахване на летателните апарати за компютърния играч: {ORANGE}{STRING}
STR_CONFIG_PATCHES_AI_BUILDS_SHIPS                              :{LTBLUE}Премахване на корабите за компютърния играч: {ORANGE}{STRING}

STR_CONFIG_PATCHES_AINEW_ACTIVE                                 :{LTBLUE}Включване на нов АИ (алфа): {ORANGE}{STRING}
STR_CONFIG_PATCHES_AI_IN_MULTIPLAYER                            :{LTBLUE}Позволяване на компютърни играчи в мултиплейър (експериментално): {ORANGE}{STRING}

STR_CONFIG_PATCHES_NOSERVICE                                    :{LTBLUE}Изключване на сервиза когато повредите са изключени: {ORANGE}{STRING}

STR_CONFIG_PATCHES_COLORED_NEWS_YEAR                            :{LTBLUE}Цветни нови се появяват през: {ORANGE}{STRING}
STR_CONFIG_PATCHES_ENDING_YEAR                                  :{LTBLUE}Край на играта през: {ORANGE}{STRING}
STR_CONFIG_PATCHES_ALLOW_SHARES                                 :{LTBLUE}Позволяване покупката на акции от други компании
STR_CONFIG_PATCHES_DRAG_SIGNALS_DENSITY                         :{LTBLUE}При влачене, поставяне на семафори всеки: {ORANGE}{STRING} плочка(и)

STR_CONFIG_PATCHES_GUI                                          :{BLACK}Интерфейс
STR_CONFIG_PATCHES_CONSTRUCTION                                 :{BLACK}Строене
STR_CONFIG_PATCHES_ECONOMY                                      :{BLACK}Икономика
STR_CONFIG_PATCHES_AI                                           :{BLACK}Съперници

STR_CONFIG_PATCHES_DISABLED                                     :изключено
STR_CONFIG_PATCHES_INT32                                        :{NUM}
